id,Price,Year,Mileage,City,State,Make,Model
850001,,2007,186177,Columbus, OH,Honda,Accord
850002,,2015,12134,Plano, TX,Mercedes-Benz,E-ClassE350
850003,,2016,27930,West Park, FL,Nissan,SentraSL
850004,,2014,32349,Corvallis, OR,Mazda,Mazda3s
850005,,2012,53586,Dartmouth, MA,Nissan,RogueAWD
850006,,2014,35929,Roswell, GA,Honda,Civic
850007,,2016,26910,Cathedral City, CA,Scion,tCAutomatic
850008,,2011,117099,North Hollywood, CA,Mercedes-Benz,C-Class4dr
850009,,2007,161951,Caldwell, ID,Dodge,Ram
850010,,2014,32126,San Diego, CA,Land,Rover
850011,,2013,93447,Milledgeville, GA,Ford,ExplorerBase
850012,,2014,25670,Philadelphia, PA,Chevrolet,Cruze1LT
850013,,2014,9372,Clive, IA,Jeep,PatriotHigh
850014,,2009,114133,Richardson, TX,Toyota,Venza4dr
850015,,2013,63637,Stuart, FL,Toyota,Avalon
850016,,2016,14285,Highland Park, IL,Porsche,CayenneS
850017,,2014,78729,Houston, TX,Ford,ExplorerXLT
850018,,2017,11817,Palmyra, NJ,Cadillac,XTSFWD
850019,,2017,71,Norco, CA,Dodge,DurangoSXT
850020,,2013,30398,Miami Gardens, FL,Volkswagen,Jetta
850021,,2010,119159,Albuquerque, NM,Lexus,RX
850022,,2008,179654,Burbank, IL,Lincoln,MKXAWD
850023,,2016,5638,Waukesha, WI,Subaru,CrosstrekPremium
850024,,2013,118293,Stonewall, LA,Ford,Expedition
850025,,2014,22827,Hurricane, WV,Subaru,Forester2.5i
850026,,2017,7234,Branford, CT,Subaru,Legacy2.5i
850027,,2015,18864,Hickory Hills, IL,Volkswagen,Passat4dr
850028,,2014,64686,Pensacola, FL,Mazda,Mazda3s
850029,,2017,2663,Winnsboro, LA,Nissan,RogueS
850030,,2013,91765,Independence, MO,Ford,F-150SuperCrew
850031,,2016,16559,Carrollton, TX,Ford,FusionSE
850032,,2013,50924,Philadelphia, PA,Chevrolet,Silverado
850033,,2014,44327,Scottsdale, AZ,Mercedes-Benz,M-ClassML350
850034,,2016,41533,Houston, TX,Volkswagen,Jetta
850035,,2016,31226,Mountain View, CA,Nissan,VersaSV
850036,,2015,40404,Beavercreek, OH,Ford,F-1504WD
850037,,2011,38315,Davie, FL,Honda,CR-V2WD
850038,,2015,42784,El Paso, TX,Dodge,DartSXT
850039,,2014,7973,Feasterville, PA,Audi,A42.0T
850040,,2008,131637,Highland Springs, VA,Ford,Focus2dr
850041,,2013,75456,O'Fallon, IL,Ford,EscapeSE
850042,,2009,90521,Elizabeth, NJ,Lexus,RX
850043,,2015,39376,Mount Juliet, TN,Audi,A8
850044,,2008,107978,Roseville, CA,Jaguar,XJ4dr
850045,,2013,56139,Seekonk, MA,Toyota,RAV44X4
850046,,2016,23948,Miami, FL,Hyundai,AzeraLimited
850047,,2016,23031,Inver Grove Heights, MN,Ford,FocusHatchback
